service,port
citysearch,3974
opswagent,3976
dcs-config,3988
pda-gate,4012
talarian-mcast1,4015
talarian-mcast3,4017
nexus-portal,4021
as-debug,4026
jdmn-port,4030
sanavigator,4033
ldxp,4042
cppdp,4051
idp,4067
minger,4069
aibkup,4071
iRAPP,4073
ascomalarm,4077
santools,4079
lorica-in-sec,4081
lorica-out,4082
pvxpluscs,4093
patrolview,4097
brlp-2,4103
izm,4109
unikeypro,4127
nufw,4128
cedros_fds,4140
stat-scanner,4157
nss,4159
jini-discovery,4160
altcp,4165
joost,4166
MaxumSP,4179
dsmipv6,4191
vrml-multi-use,4202
vrml-multi-use,4207
vrml-multi-use,4208
vrml-multi-use,4225
vrml-multi-use,4247
vrml-multi-use,4260
vrml-multi-use,4274
vrml-multi-use,4282
vrml-multi-use,4285
vrml-multi-use,4293
vrml-multi-use,4299
d-data,4301
compx-lockview,4308
lisp-data,4341
vinainstall,4344
qsnet-trans,4354
omabcastltkm,4359
elpro_tunnel,4370
apwi-disc,4394
wssauthsvc,4537
aegate,4549
ieee-mih,4551
menandmice-mon,4552
msfrs,4554
ias-neighbor,4596
playsta2-lob,4659
noteit,4663
cxws,4673
netxms-mgmt,4701
netxms-sync,4702
a26-fap-fgw,4726
lumimgrd,4741
openhpid,4743
snap,4752
bfd-multi-ctl,4784
iwec,4801
varadero-1,4838
varadero-2,4839
opcua-udp,4840
gw-log,4844
contamac_icm,4846
derby-repli,4851
phrelay,4868
hivestor,4884
eq-office-4940,4940
eq-office-4941,4941
vrt,4991
scpi-raw,5025
asnaacceler8db,5042
swxadmin,5043
intecom-ps1,5056
sds,5059
i-net-2000-npr,5069
powerschool,5071
hart-ip,5094
emb-proj-cmd,5116
winpcs,5166
perfd,5227
downtools-disc,5245
capwap-control,5246
3com-njack-1,5264
cuelink-disc,5271
pk,5272
jprinter,5309
kfserver,5343
dns-llq,5352
elektron-admin,5398
foresyte-sec,5408
beyond-remote,5424
spss,5443
tmo-icon-sync,5583
precise-comm,5630
xprtld,5634
brightcore,5682
qmvideo,5689
spramsd,5770
xtreamx,5793
spdp,5794
x11,6020
x11,6022
x11,6026
x11,6038
x11,6042
x11,6048
x11,6057
x11,6061
diagnose-proc,6072
pdtp,6086
dbdb,6104
bex-webadmin,6122
jeol-nsddp-3,6243
jeol-nsddp-4,6244
ufmp,6306
repsvc,6320
boe-pagesvr,6405
boe-processsvr,6406
sge_qmaster,6444
mysql-proxy,6446
sun-sr-jmx,6488
joaJewelSuite,6583
babel,6697
e-design-web,6703
bmc-perf-agent,6767
netmo-http,6842
iccrushmore,6850
iatp-highpri,6998
oma-ulp,7275
swx,7301
swx,7305
swx,7307
swx,7309
swx,7310
swx,7314
swx,7316
swx,7318
swx,7329
swx,7336
swx,7338
swx,7346
ionixnetmon,7410
oveadmgr,7427
pmdfmgt,7633
pando-pub,7680
klio,7697
medimageportal,7720
trident-data,7727
aiagent,7738
prgp,7747
vstat,7779
popup-reminders,7787
altbsdp,7799
ssp-client,7801
ubroker,7887
t2-brm,7933
quest-vista,7980
